dataset,dataset_description,minority_fraction,imbalance_treatment,sweep,n_estimators,max_depth,test_accuracy,test_f1_macro,test_auc_roc,minority_recall,oob_accuracy,fit_seconds
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,1,None,0.9090909090909091,0.902939487286587,0.9045073375262055,0.8867924528301887,0.9150326797385621,0.09122189998743124
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,10,None,0.951048951048951,0.9477366470004699,0.9926624737945493,0.9433962264150944,0.9146919431279621,0.9172458999964874
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,20,None,0.951048951048951,0.947329650092081,0.9950733752620544,0.9245283018867925,0.9436619718309859,1.5159103000187315
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,30,None,0.951048951048951,0.947329650092081,0.9946540880503145,0.9245283018867925,0.9530516431924883,2.1481680999859236
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,40,None,0.951048951048951,0.947329650092081,0.9950733752620545,0.9245283018867925,0.9507042253521126,2.9731337999983225
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,50,None,0.958041958041958,0.9546703296703296,0.9953878406708596,0.9245283018867925,0.9530516431924883,3.9991383000160567
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,60,None,0.958041958041958,0.9546703296703296,0.9944444444444444,0.9245283018867925,0.9507042253521126,4.274118400004227
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,70,None,0.958041958041958,0.9546703296703296,0.9941299790356394,0.9245283018867925,0.9553990610328639,5.283398400002625
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,80,None,0.958041958041958,0.9546703296703296,0.9943396226415094,0.9245283018867925,0.9577464788732394,5.9592694000166375
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,90,None,0.958041958041958,0.9546703296703296,0.9943396226415094,0.9245283018867925,0.9553990610328639,6.524029200023506
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,100,None,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9553990610328639,6.8900033999816515
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,110,None,0.958041958041958,0.9546703296703296,0.9940251572327045,0.9245283018867925,0.960093896713615,7.992098300019279
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,120,None,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9647887323943662,8.456921100005275
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,130,None,0.958041958041958,0.9546703296703296,0.9941299790356394,0.9245283018867925,0.9624413145539906,8.95143879999523
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,140,None,0.958041958041958,0.9546703296703296,0.9942348008385745,0.9245283018867925,0.960093896713615,10.159818799991626
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,150,None,0.958041958041958,0.9546703296703296,0.9944444444444446,0.9245283018867925,0.9624413145539906,10.508048399991821
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,160,None,0.958041958041958,0.9546703296703296,0.9943396226415094,0.9245283018867925,0.9553990610328639,11.2861481999862
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,170,None,0.958041958041958,0.9546703296703296,0.9944444444444446,0.9245283018867925,0.9577464788732394,12.008566100004828
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,180,None,0.958041958041958,0.9546703296703296,0.9943396226415094,0.9245283018867925,0.960093896713615,12.683737200015457
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,190,None,0.958041958041958,0.9546703296703296,0.9943396226415094,0.9245283018867925,0.9624413145539906,13.639078599982895
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,n_estimators,200,None,0.958041958041958,0.9546703296703296,0.9942348008385745,0.9245283018867925,0.9624413145539906,13.89415179999196
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,1,None,0.8111111111111111,0.8109010011123471,0.8107707509881423,0.7954545454545454,0.9183673469387755,0.018609199993079528
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,10,None,0.9555555555555556,0.9554675903018308,0.9903656126482213,0.9318181818181818,0.9060150375939849,0.15142210002522916
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,20,None,0.9666666666666667,0.9666625509322139,0.9975296442687747,0.9772727272727273,0.9662921348314607,0.2957643000117969
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,30,None,0.9777777777777777,0.9777667984189724,0.9980237154150198,0.9772727272727273,0.9775280898876404,0.42646139999851584
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,40,None,0.9888888888888889,0.9888875169774046,0.999505928853755,1.0,0.9812734082397003,0.5645335000008345
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,50,None,0.9777777777777777,0.9777777777777777,0.999505928853755,1.0,0.9812734082397003,0.6881897999846842
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,60,None,0.9888888888888889,0.9888875169774046,0.9992588932806324,1.0,0.9812734082397003,0.8439769000106025
