dataset,model,expected_loss,bias_squared,variance
wdbc,Decision stump (ours),0.08442105263157895,0.07368421052631578,0.05340350877192983
wdbc,AdaBoost (ours),0.032771929824561404,0.02456140350877193,0.019859649122807018
wdbc,Random Forest (sklearn ref),0.04126315789473684,0.031578947368421054,0.02168421052631579
wdbc,Random Forest (ours),0.04108771929824562,0.03508771929824561,0.02214035087719298
