dataset,model,role,fold,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,log_loss,brier_score,expected_calibration_error
wdbc,AdaBoost (ours),project_implementation,1,0.9912280701754386,0.9930555555555556,0.9883720930232558,0.99062114356232,0.9970520799213888,0.09439963565258085,0.023776809122557082,0.017495375606288263
wdbc,AdaBoost (ours),project_implementation,2,0.9385964912280702,0.9412162162162162,0.9277759580740256,0.933693394266722,0.9918113331149688,0.30547098340117024,0.11315559985736832,0.0607583779184106
wdbc,AdaBoost (ours),project_implementation,3,0.956140350877193,0.9605128205128205,0.9454365079365079,0.9521289997480473,0.9821428571428571,0.48778504159045805,0.07807192933085008,0.041051488108701885
wdbc,AdaBoost (ours),project_implementation,4,0.9736842105263158,0.9666666666666667,0.9791666666666667,0.9721203228173148,1.0,0.0810806432077144,0.04809313879334849,0.027665321230902623
wdbc,AdaBoost (ours),project_implementation,5,0.9734513274336283,0.9797297297297297,0.9642857142857143,0.9711366538952746,0.9959758551307847,0.21691590254884385,0.05764124929683814,0.0321381770498947
wdbc,"AdaBoost SAMME.R (ours, bonus)",project_bonus,1,0.9912280701754386,0.9930555555555556,0.9883720930232558,0.99062114356232,0.9983622666229938,0.06852697616816632,0.018503409312673552,0.009913741966006171
wdbc,"AdaBoost SAMME.R (ours, bonus)",project_bonus,2,0.9385964912280702,0.9412162162162162,0.9277759580740256,0.933693394266722,0.9927939731411726,0.38909176610523843,0.10298361789361492,0.057077406654374316
wdbc,"AdaBoost SAMME.R (ours, bonus)",project_bonus,3,0.956140350877193,0.9605128205128205,0.9454365079365079,0.9521289997480473,0.9910714285714286,0.5973779069112604,0.08636575189015828,0.043514583293481124
wdbc,"AdaBoost SAMME.R (ours, bonus)",project_bonus,4,0.9824561403508771,0.9772727272727273,0.9861111111111112,0.981329839502129,1.0,0.0582649994505129,0.026851472923456864,0.016774882677959665
wdbc,"AdaBoost SAMME.R (ours, bonus)",project_bonus,5,0.9823008849557522,0.9863013698630136,0.9761904761904762,0.9808604336043361,0.994634473507713,0.27995581649559476,0.038280396539899196,0.02110604761323374
wdbc,Single tree (ours),project_implementation,1,0.9210526315789473,0.9146103896103897,0.9182771044873894,0.9163609684519443,0.9182771044873894,2.1813964038900178,0.15789473684178948,0.07894736842005268
