model,dataset,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,log_loss,brier_score,expected_calibration_error
MyTree,wdbc,0.9298245614035088,0.9287162162162163,0.9196428571428572,0.9238222519211494,0.9196428571428571,1.9390190256801265,0.14035087719270176,0.07017543859549125
MyStump,wdbc,0.8771929824561403,0.8955792682926829,0.8432539682539683,0.85995085995086,0.8432539682539683,0.38685133125274535,0.22012585375365146,0.05175973219499741
sklearn,wdbc,0.9298245614035088,0.9246031746031746,0.9246031746031746,0.9246031746031746,0.9246031746031746,1.939019025680127,0.14035087719270176,0.07017543859549125
